"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"33","동물장묘업","02_03_05_P","5690000","569000003820210001","2021-12-20","","01","영업/정상","0000","정상","","","","","1533-4426","0","","세종특별자치시 장군면 금암리 88-1","세종특별자치시 장군면 정동길 76","30056","펫포유(PET FOR YOU)","2022-10-14 17:39:05","U","2022-10-16 02:40:00","","","","동물장묘업","","000","0",
"34","동물장묘업","02_03_05_P","5670000","567000003820230001","2023-05-26","","01","영업/정상","0000","정상","","","","","","0","","경상남도 창원시 진해구 용원동 11 주식회사어울림","경상남도 창원시 진해구 진해대로 2507, 주식회사어울림 (용원동)","51603","한별 반려동물 장례식장","2023-11-23 17:11:46","U","2023-11-25 02:40:00","","366916.792251086","179710.96653466","동물장묘업","","L00","0",
"35","동물장묘업","02_03_05_P","5210000","521000003820200001","2020-06-02","","01","영업/정상","0000","정상","","","","","","0","","경상북도 성주군 선남면 오도리 91","경상북도 성주군 선남면 관용로 427","40042","강아지 펫 헤븐","2022-01-11 17:18:38","U","2022-01-13 02:40:00","","323073.158259568","270523.135916258","동물장묘업","","000","0",
"36","동물장묘업","02_03_05_P","5220000","522000003820200001","2020-06-03","","01","영업/정상","0000","정상","","","","","0549742220","0","","경상북도 칠곡군 가산면 다부리 651번지","경상북도 칠곡군 가산면 다부거문1길 51-68","39851","스윗드림 펫","2020-06-03 09:46:09","I","2020-06-05 00:23:19","","337206.55599931","282829.842007933","동물장묘업","","L00","",
"37","동물장묘업","02_03_05_P","4060000","406000003820230001","2023-03-30","","01","영업/정상","0000","정상","","","","","","0","","경기도 파주시 광탄면 분수리 458","경기도 파주시 광탄면 수레길 302","10954","주식회사 페어웰","2024-03-04 09:50:28","U","2024-03-06 02:40:00","","186462.219615971","473689.565239111","동물장묘업","","000","0",
"38","동물장묘업","02_03_05_P","5540000","554000003820230001","2023-03-21","","01","영업/정상","0000","정상","","","","","","0","","경기도 광주시 초월읍 선동리 386-5","경기도 광주시 초월읍 선장동길 31-3","12732","하늘강아지 반려동물 장례식장","2024-08-21 11:52:54","U","2024-08-23 02:40:00","","228116.685144668","431914.776700986","동물장묘업","","L00","0",
"39","동물장묘업","02_03_05_P","5060000","506000003820230001","2023-03-28","","01","영업/정상","0000","정상","","","","","","0","","경상북도 김천시 봉산면 신암리 396","경상북도 김천시 봉산면 영남대로 353","39561","경북반려동물장례식장","2024-08-16 10:03:47","U","2024-08-18 02:40:00","","291282.952575191","297988.404703894","동물장묘업","","000","0",
"40","동물장묘업","02_03_05_P","3930000","393000003820240001","2024-03-08","","01","영업/정상","0000","정상","","","","","1833-5158","0","","경기도 안산시 상록구 양상동 42-12","경기도 안산시 상록구 서당길 10 (양상동)","15208","펫콤 안산점","2024-08-30 15:34:36","U","2024-09-01 02:40:00","","186341.408403056","428102.614803895","동물장묘업","","L00","0",
"41","동물장묘업","02_03_05_P","3630000","363000003820160001","2016-05-10","","01","영업/정상","0000","정상","","","","","062-946-2626","0","","광주광역시 광산구 지죽동 409-14번지","광주광역시 광산구 평동매화길 34 (지죽동)","62413","(주) 하늘펫","2018-12-04 09:34:29","U","2018-12-06 02:40:00","","178024.850068869","182429.217366042","동물장묘업","","L00","",
"42","동물장묘업","02_03_05_P","5380000","538000003820160001","2016-03-29","","01","영업/정상","0000","정상","","","","","055-374-6503","0","","경상남도 양산시 상북면 외석리 462-2","경상남도 양산시 상북면 오룡길 152","50582","메리온","2021-01-20 18:37:46","U","2021-01-22 02:40:00","","385202.677589951","218986.871924112","동물장묘업","","000","",
"43","동물장묘업","02_03_05_P","5350000","535000003820180001","2018-06-14","","01","영업/정상","0000","정상","","","","","1577-5474","0","","경상남도 김해시 생림면 봉림리 872-1","경상남도 김해시 생림면 생림대로928번길 10-5","50800","주식회사 아이헤븐","2024-02-22 16:56:59","U","2024-02-24 02:40:00","","367952.46809035","206148.962091338","동물장묘업","","L00","0",
"44","동물장묘업","02_03_05_P","4540000","454000003820180001","2018-08-28","","01","영업/정상","0000","정상","","","","","735-1700","0","","충청남도 논산시 연산면 청동리 16번지","충청남도 논산시 연산면 계백로 2172-13","32911","리멤버파크","2018-08-28 09:27:50","I","2018-08-31 23:59:59","","219146.014355361","301064.542051453","","","","",
"45","동물장묘업","02_03_05_P","4440000","444000003820200001","2020-07-15","","01","영업/정상","0000","정상","","","","","1544-9262","0","","충청북도 영동군 추풍령면 작점리 148","충청북도 영동군 추풍령면 작동1길 81","29120","스마일 어게인","2021-01-19 09:04:50","U","2021-01-21 02:40:00","","293721.40784206","300852.254530171","동물장묘업","","000","",
"46","동물장묘업","02_03_05_P","4761000","476100003820210001","2021-07-20","","01","영업/정상","0000","정상","","","","","063-643-0486","0","","전북특별자치도 임실군 오수면 금암리 864-1 오수펫추모공원","전북특별자치도 임실군 오수면 춘향로 1554-95, 오수펫추모공원","55955","오수 펫 추모공원","2022-07-14 16:11:44","I","2024-01-19 01:16:45","","231550.822100709","226602.094063431","동물장묘업","","L00","0",
"47","동물장묘업","02_03_05_P","5540000","554000003820200001","2020-07-16","","01","영업/정상","0000","정상","","","","","","0","","경기도 광주시 곤지암읍 부항리 236","경기도 광주시 곤지암읍 신만로 305","12723","백꽃사랑하이빛","2020-07-16 17:49:16","U","2020-07-18 02:40:00","","234887.905085338","428049.941608134","동물장묘업","","000","",
"48","동물장묘업","02_03_05_P","4810000","481000003820210001","2021-07-21","","01","영업/정상","0000","정상","","","","","1566-7112","0","","전라남도 여수시 율촌면 취적리 964-3","전라남도 여수시 율촌면 조화길 31","59604","전남반려동물장례식장푸른솔","2023-08-14 17:34:50","U","2023-08-17 02:40:00","","253860.268623436","152032.185089794","동물장묘업","","L00","0",
"49","동물장묘업","02_03_05_P","4090000","409000003820080002","2013-07-12","","01","영업/정상","0000","정상","","","","","031-981-0271","0","","경기도 김포시 하성면 양택리 251-6","경기도 김포시 하성면 하성로 720","10008","엔젤스톤","2021-10-29 16:09:53","U","2021-10-31 02:40:00","","167305.185741877","470504.547442324","동물장묘업","","L00","0",
"50","동물장묘업","02_03_05_P","4090000","409000003820080003","2008-11-07","","01","영업/정상","0000","정상","","2023-12-18","2024-02-15","","","0","","경기도 김포시 통진읍 귀전리 167","경기도 김포시 통진읍 고정로 308","10010","펫포레스트 반려동물장례식장 김포점","2024-04-09 10:22:44","U","2024-04-11 02:40:00","","164767.226657825","469222.194781071","동물장묘업","","L00","0",
"51","동물장묘업","02_03_05_P","4641000","464100003820220001","2022-07-05","","01","영업/정상","0000","정상","","","","","063-229-4444","0","","전북특별자치도 전주시 완산구 효자동3가 1039-1","전북특별자치도 전주시 완산구 콩쥐팥쥐로 1705-44(효자동3가)","54878","전주 반려동물장례식장 아리움","2022-07-08 17:42:22","I","2024-01-19 01:16:45","","207690.318389058","258325.128709741","동물장묘업","","L00","0",
"52","동물장묘업","02_03_05_P","5530000","553000003820210001","2021-08-18","","01","영업/정상","0000","정상","","","","","031-353-5579","0","","경기도 화성시 정남면 문학리 663","경기도 화성시 정남면 서봉로851번길 83","18522","스토리펫","2021-08-18 09:50:58","U","2021-08-20 02:40:00","","195804.125151356","405618.764729081","동물장묘업","","000","0",
"53","동물장묘업","02_03_05_P","5420000","542000003820170001","2017-08-08","","01","영업/정상","0000","정상","","","","","","0","","경상남도 고성군 회화면 봉동리 608-1","경상남도 고성군 회화면 봉오로 145-21","52916","주식회사 하늘소풍","2021-09-28 09:58:41","U","2021-09-30 02:40:00","","327123.160784672","176499.23612006","동물장묘업","","L00","0",
"54","동물장묘업","02_03_05_P","5530000","553000003820190003","2019-09-03","","01","영업/정상","0000","정상","","","","","1588-1289","0","","경기도 화성시 비봉면 양노리 755-5","경기도 화성시 비봉면 양노남길 108","18284","펫오케스트라 반려동물장례식장","2024-12-17 15:29:11","U","2024-12-19 02:40:00","","188265.168564066","413055.594903512","동물장묘업","","000","0",
"55","동물장묘업","02_03_05_P","5530000","553000003820170001","2017-12-08","","01","영업/정상","0000","정상","","","","","","0","","경기도 화성시 서신면 사곶리 5-18","경기도 화성시 서신면 안벼슬길102번길 165","18556","포포즈 반려동물장례식장 화성2호점","2025-06-17 09:27:35","U","2025-06-19 02:40:00","","176967.596223325","405910.328952567","동물장묘업","","L00","0",
"56","동물장묘업","02_03_05_P","5530000","553000003820190001","2019-06-05","","01","영업/정상","0000","정상","","","","","","0","","경기도 화성시 팔탄면 창곡리 925-6","경기도 화성시 팔탄면 독곡길 24-42","18525","포포즈 반려동물장례식장 화성1호점","2025-07-23 09:28:33","U","2025-07-25 02:40:00","","190569.997285905","408137.559476533","동물장묘업","","L00","0",
"57","동물장묘업","02_03_05_P","4820000","482000003820240001","2024-01-07","","01","영업/정상","0000","정상","","","","","","0","","전라남도 순천시 별량면 대룡리 1189-1 펫하늘별","전라남도 순천시 별량면 송산길 259, 펫하늘별","58031","순천 반려동물장례식장 하늘별","2024-01-16 11:51:35","U","2024-01-18 02:40:00","","234371.005725037","154150.345620707","동물장묘업","","000","0",
"58","동물장묘업","02_03_05_P","4540000","454000003820180002","2020-07-24","","01","영업/정상","0000","정상","","","","","041-735-1700","0","","충청남도 논산시 연산면 청동리 16","충청남도 논산시 연산면 계백로 2172-13","32911","리멤버파크","2020-10-22 13:38:57","U","2020-10-24 02:40:00","","219146.014355361","301064.542051453","동물장묘업","","000","",
"59","동물장묘업","02_03_05_P","4430000","443000003820200001","2020-11-09","","01","영업/정상","0000","정상","","","","","","0","","충청북도 옥천군 이원면 평계리 992-2 음식점","충청북도 옥천군 이원면 이원로 47, 음식점","29064","대전 이별공간","2024-08-22 10:46:30","U","2024-08-24 02:40:00","","256461.768510781","298218.433673269","동물장묘업","","000","0",
"60","동물장묘업","02_03_05_P","4830000","483000003820250002","2025-06-30","","01","영업/정상","0000","정상","","","","","061-337-0991","0","","전라남도 나주시 다시면 신광리 911-4","전라남도 나주시 다시면 영산로 4952","58279","주식회사 퍼스트펫","2025-06-30 17:53:29","I","2025-07-02 00:20:02","","170568.536905393","169009.050731071","동물장묘업","","L00","0",
"61","동물장묘업","02_03_05_P","4820000","482000003820250001","2025-07-18","","01","영업/정상","0000","정상","","","","","","0","","전라남도 순천시 서면 동산리 543-7 동물화장시설","전라남도 순천시 서면 순천로 260-1, 동물화장시설","57906","1004반려동물장례식장","2025-07-24 16:58:50","U","2025-07-26 02:40:00","","","","동물장묘업","","000","0",
"62","동물장묘업","02_03_05_P","4800000","480000003820220001","2022-09-27","","01","영업/정상","0000","정상","","","","","061-273-4000","0","","전라남도 목포시 대양동 756-10","전라남도 목포시 고하대로 1140-17(대양동)","58603","해늘마루","2022-10-19 17:09:02","U","2022-10-21 02:40:00","","145297.226396078","149233.782029218","동물장묘업","","L00","0",
"63","동물장묘업","02_03_05_P","4960000","496000003820210001","2021-03-23","","01","영업/정상","0000","정상","","","","","","0","","전라남도 함평군 학교면 월산리 259","전라남도 함평군 학교면 학교월봉길 217","57158","타임투반려동물 장례식장","2022-11-22 16:02:14","U","2022-11-24 02:40:00","","158407.424331112","172396.924552729","동물장묘업","","L00","0",
"64","동물장묘업","02_03_05_P","3400000","340000003820210001","2021-02-24","","01","영업/정상","0000","정상","","","","","051-728-5411","0","","부산광역시 기장군 일광면 동백리 383-2","부산광역시 기장군 일광면 차양길 175","46040","센트럴파크(주)","2021-07-28 13:30:53","U","2021-07-30 02:40:00","","404470.016765598","201766.778640086","동물장묘업","","L00","0",
"65","동물장묘업","02_03_05_P","4721000","472100003820200001","2020-03-05","","01","영업/정상","0000","정상","","","","","063-242-2114","0","","전북특별자치도 완주군 이서면 은교리 508","전북특별자치도 완주군 이서면 팥죽이로 205-7","55367","해피펫","2023-07-19 11:24:13","I","2024-01-19 01:16:45","","201708.296680986","255736.035754546","동물장묘업","","000","0",
"66","동물장묘업","02_03_05_P","4721000","472100003820200002","2020-04-20","","01","영업/정상","0000","정상","","","","","","0","","전북특별자치도 완주군 소양면 신원리 1-3 현대오일뱅크","전북특별자치도 완주군 소양면 전진로 1630, 현대오일뱅크","55346","전주 하늘","2020-04-20 17:45:38","I","2024-01-19 01:16:45","","229122.306643175","261830.105439193","동물장묘업","","000","0",
"67","동물장묘업","02_03_05_P","5710000","571000003820150001","2015-07-01","","01","영업/정상","0000","정상","","","","","043-264-2666","0","","충청북도 청주시 서원구 남이면 구미리 233-1","충청북도 청주시 서원구 남이면 구미1길 37-47","28184","러블리엔젤","2024-06-19 09:44:23","U","2024-06-21 02:40:00","","234195.558123164","340702.899359058","동물장묘업","","000","0",
"68","동물장묘업","02_03_05_P","5710000","571000003820170001","2017-05-09","","01","영업/정상","0000","정상","","","","","043-283-2356","0","","충청북도 청주시 상당구 남일면 가중리 309-1","충청북도 청주시 상당구 남일면 신송서원길 120-30","28186","(주)우바스","2021-03-08 10:10:57","U","2021-03-10 02:40:00","","243066.718829526","340591.573881207","동물장묘업","","L00","",
"69","동물장묘업","02_03_05_P","5690000","569000003820170001","2017-04-07","","01","영업/정상","0000","정상","","","","","","0","","세종특별자치시 부강면 부강리 658-2","세종특별자치시 부강면 시목부강로 620","30074","포포즈 반려동물 장례식장 세종점","2024-02-02 11:42:09","U","2024-02-04 02:40:00","","233774.771556238","335509.98651911","동물장묘업","","L00","0",
"70","동물장묘업","02_03_05_P","5540000","554000003820150001","2015-10-30","","01","영업/정상","0000","정상","","","","","","0","","경기도 광주시 초월읍 신월리 592-19","경기도 광주시 초월읍 산수로 409-11","12729","포포즈 반려동물 장례식장 경기광주점","2024-02-08 09:51:08","U","2024-02-11 02:40:00","","227369.446579015","432832.038754988","동물장묘업","","000","0",
"71","동물장묘업","02_03_05_P","5540000","554000003820160001","2016-11-17","","01","영업/정상","0000","정상","","","","","","0","","경기도 광주시 문형동 749-5","경기도 광주시 문형동 오포안로 77","12774","펫포레스트 반려동물장례식장 경기광주점","2024-04-30 08:17:27","U","2024-05-02 02:40:00","","","","동물장묘업","","L00","0",
"72","동물장묘업","02_03_05_P","5540000","554000003820170001","2017-04-11","","01","영업/정상","0000","정상","","","","","","0","","경기도 광주시 초월읍 지월리 134","경기도 광주시 초월읍 지월로100번길 18","12728","(주)해피엔딩","2025-05-23 16:03:11","U","2025-05-25 02:40:00","","226536.0743667","434551.789342354","동물장묘업","","L00","0",
"73","동물장묘업","02_03_05_P","5540000","554000003820080001","2008-03-07","","01","영업/정상","0000","정상","","","","2020-11-13","02-401-3384","0","","경기도 광주시 매산동 139","경기도 광주시 매산동 매자리길 185","","21그램 반려동물장례식장","2022-09-28 17:04:16","U","2022-09-30 02:40:00","","","","동물장묘업","","L00","0",
"74","동물장묘업","02_03_05_P","5540000","554000003820140001","2014-07-14","","01","영업/정상","0000","정상","","","","","031-796-4341","0","","경기도 광주시 초월읍 지월리 712-10","경기도 광주시 초월읍 현산로361번길 12","12728","러브펫 반려동물장례식장","2024-04-05 13:59:19","U","2024-04-07 02:40:00","","225116.997657545","434999.834783652","동물장묘업","","000","0",
"75","동물장묘업","02_03_05_P","3940000","394000003820150001","2015-11-11","","01","영업/정상","0000","정상","","","","","031-976-3179","0","","경기도 고양시 일산동구 설문동 515-1","경기도 고양시 일산동구 은마길63번길 25-2 (설문동)","10252","(주)펫바라기","2024-10-22 14:58:38","U","2024-10-24 02:40:00","","182813.35315607","467934.777096784","동물장묘업","","L00","0",
"76","동물장묘업","02_03_05_P","4090000","409000003820170001","2017-05-02","","01","영업/정상","0000","정상","","","","","1588-2888","0","","경기도 김포시 월곶면 개곡리 810-1","경기도 김포시 월곶면 애기봉로 262","10003","포포즈 반려동물장례식장 김포점","2024-02-07 14:41:06","U","2024-02-11 02:40:00","","162519.985198036","469834.579843145","동물장묘업","","L00","0",
